(19, 181)
(213, 17)
(228, -73)
(302, 84)
(-91, 203)
(-356, -25)
(-43, -69)
(189, -194)
(-185, 91)
(-79, 216)
(342, -180)
(-386, -10)
(67, 110)
(-262, -88)
(-66, -36)
(298, -157)
(338, -161)
(-123, 375)
(-234, 14)
(-35, -350)
(279, -271)
(177, -263)
(80, 202)
(350, -354)
(-291, -181)
(393, 368)
(-273, -335)
(24, -336)
(49, 112)
(-101, -141)
(300, 76)
(153, -183)
(252, -102)
(303, 360)
(58, -89)
(132, 8)
(-132, -371)
(236, -146)
(-85, 287)
(215, -128)
(217, -132)
(-91, 4)
(-270, -5)
(-150, 229)
(-305, -98)
(43, 264)
(-142, 295)
(-378, 301)
(-85, -240)
(-338, -399)
(308, 193)
(189, 164)
(-334, 367)
(-371, 218)
(189, 0)
(153, 108)
(20, -206)
(-366, -286)
(-171, 232)
(-100, 284)
